,open,high,low,close,volume,movement,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225
2017-11-02,6777.77001953125,7367.330078125,6758.72021484375,7078.5,4653770240,1.826089787737506,3383.31005859375,39.40639877319336,54.540000915527344,1274.9000244140625,3.135499954223633,5.089313507080078,23516.259765625,2579.85009765625,1069.43994140625,22539.119140625
2017-11-03,7087.52978515625,7461.2900390625,7002.93994140625,7207.759765625,3369860096,2.3889590564422525,3371.743896484375,40.43545150756836,55.63999938964844,1266.5,3.1105000972747803,5.15727424621582,23539.189453125,2587.840087890625,1071.469970703125,22539.119140625
2017-11-04,7164.47998046875,7492.85986328125,7031.27978515625,7379.9501953125,2483800064,0.37208870264384686,3371.743896484375,40.43545150756836,55.63999938964844,1266.5,3.1105000972747803,5.15727424621582,23539.189453125,2587.840087890625,1071.469970703125,22539.119140625
2017-11-05,7404.52001953125,7617.47998046875,7333.18994140625,7407.41015625,2380410112,-5.192778346429916,3371.743896484375,40.43545150756836,55.63999938964844,1266.5,3.1105000972747803,5.15727424621582,23539.189453125,2587.840087890625,1071.469970703125,22539.119140625
2017-11-06,7403.22021484375,7445.77001953125,7007.31005859375,7022.759765625,3111899904,1.731799481206897,3388.174072265625,40.84566879272461,57.349998474121094,1279.4000244140625,3.1505000591278076,5.1805033683776855,23548.419921875,2591.1298828125,1070.7900390625,22548.349609375
2017-11-07,7023.10009765625,7253.31982421875,7023.10009765625,7144.3798828125,2326340096,4.413399955849262,3413.574951171875,40.9769287109375,57.20000076293945,1273.699951171875,3.0824999809265137,5.239813804626465,23557.23046875,2590.639892578125,1064.989990234375,22937.599609375
2017-11-08,7141.3798828125,7776.419921875,7114.02001953125,7459.68994140625,4602200064,-4.237573756606549,3415.4599609375,41.312137603759766,56.810001373291016,1281.5999755859375,3.0929999351501465,5.168888092041016,23563.359375,2594.3798828125,1063.739990234375,22913.8203125
2017-11-09,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,3226249984,-7.355414731266851,3427.794921875,41.227745056152344,57.16999816894531,1285.5999755859375,3.0799999237060547,5.07399320602417,23461.939453125,2584.6201171875,1052.9300537109375,22868.7109375
2017-11-10,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,5208249856,-3.936756153242693,3432.673095703125,41.09130096435547,56.7400016784668,1272.4000244140625,3.069499969482422,5.34138298034668,23422.2109375,2582.300048828125,1046.81005859375,22681.419921875
2017-11-11,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,4908680192,-6.410127519466624,3432.673095703125,41.09130096435547,56.7400016784668,1272.4000244140625,3.069499969482422,5.34138298034668,23422.2109375,2582.300048828125,1046.81005859375,22681.419921875
2017-11-12,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,8957349888,10.24223964020905,3432.673095703125,41.09130096435547,56.7400016784668,1272.4000244140625,3.069499969482422,5.34138298034668,23422.2109375,2582.300048828125,1046.81005859375,22681.419921875
2017-11-13,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6263249920,1.1625867697059977,3447.8359375,40.92662048339844,56.7599983215332,1277.300048828125,3.1115000247955322,5.254641532897949,23439.69921875,2584.840087890625,1039.5400390625,22380.990234375
2017-11-14,6561.47998046875,6764.97998046875,6461.75,6635.75,3197110016,10.244358799871911,3429.548095703125,40.307918548583984,55.70000076293945,1281.5,3.059999942779541,5.292945384979248,23409.470703125,2578.8701171875,1033.6800537109375,22380.009765625
2017-11-15,6634.759765625,7342.25,6634.759765625,7315.5400390625,4200880128,7.602308228430132,3402.52490234375,39.77626037597656,55.33000183105469,1276.5,3.0490000247955322,5.189153671264648,23271.279296875,2564.6201171875,1029.18994140625,22028.3203125
2017-11-16,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,5123809792,-2.0668967939835303,3399.25,40.25144958496094,55.13999938964844,1277.4000244140625,3.0434999465942383,5.229434013366699,23458.359375,2585.639892578125,1034.8800048828125,22351.119140625
